Index,leftWheelCount,rightWheelCount,ax,ay,az,gx,gy,gz
399,310,598,-0.07,0,1.16,22.57,1.95,-34.85
400,310,598,-0.13,0.17,1.17,-14.35,6.09,-1.01
401,310,598,-0.11,0.01,1.06,5.99,2.13,2.78
402,310,598,-0.1,0.06,1.11,2.66,0.86,47.47
403,310,598,-0.1,0.04,1.11,-17.85,-11.33,88.15
404,310,598,-0.07,-0.05,1.05,-1.03,-0.48,145.21
405,310,598,-0.09,0.16,1.08,-2.68,1.39,169.62
406,310,598,-0.12,0.07,1,-20.16,-29.17,206.96
407,310,598,0.12,0.06,1.1,-7.62,-40.42,228.51
408,310,598,0.02,0.06,1.13,3.02,-10.16,158.89
409,310,598,0.03,0.02,1.14,-2.26,-17.32,138.86
410,310,598,0.04,-0.04,1.1,0.03,5.58,84.73
411,310,598,0.06,-0.01,1.09,28.82,12.99,56.93
412,310,598,0.03,0.11,1.13,18.71,12.03,36.29
413,310,598,-0.02,0.1,1.09,-4.49,8.03,7.58
414,310,598,0,0.03,1.07,-1.08,4.73,-1.29
415,310,598,-0.03,0.06,1.05,12.27,2.69,-31.16
416,310,598,-0.02,0.02,1.07,22.48,3.44,-79.45
417,310,598,-0.01,0.07,1.12,43.53,8.06,-147.35
418,310,598,-0.02,0.18,1.11,36.93,10.16,-196.41
419,310,598,-0.1,0.19,1.06,7.85,-18.54,-241.69
420,310,598,0.05,0.04,1.05,36.58,1.72,-211.53
421,310,598,-0.15,0.17,1.06,2.57,-11.97,-161.3
422,310,598,-0.16,0.1,1.04,-35.91,-17.95,-106.56
423,310,598,-0.14,0.13,1.07,-8.36,1.44,-68.48
424,310,598,-0.14,0.18,1.13,-8.33,-2.47,-59.43
425,310,598,-0.11,0.13,1.12,3.71,9.26,-27.25
426,310,598,-0.12,0.09,1.08,3.17,5.26,11.52
427,310,598,-0.1,0.02,1.02,21.19,-1.36,62.2
428,310,598,-0.17,0.25,1.11,3.67,-0.11,72.83
